Unit Name,Capacity (Mwe),Constructor Experience (Reactor-Years),Construction Start Date,Commercial Operation Date,Realized Costs (Mixed Current Dollars),Realized Costs (Constant 1982 dollars),Location: south or southwest,Location: west,Utility construction manager,Single Unit,Cooling tower,Est Completion Date at 0%,Est Completion Date at 25%,Est Completion Date at 50%,Est Completion Date at 75%,Est Completion Date at 90%,Est Overnight Cost at 0%,Est Overnight Cost at 25%,Est Overnight Cost at 50%,Est Overnight Cost at 75%,Est Overnight Cost at 90%,,Est Overnight cost at 0% ($/kW),Est Overnight cost at 25% ($/kW),Est Overnight cost at 50% ($/kW),Est Overnight cost at 75% ($/kW),Est Overnight cost at 90% ($/kW),Realized costs at 100% ($/kW),cesc025,cesc2550,cesc5075,cesc7590,cesc90100
Arkansas Nuclear 1,850,142,11/01/1968,12/04/1974,238894,468892,1,0,0,1,0,12/01/1972,09/01/1973,09/01/1973,09/01/1973,10/01/1973,281882,300811,326237,384984,414804,,331.625882352941,353.895294117647,383.808235294118,452.922352941177,488.004705882353,551.637647058824,6.7152212627979%,8.45248345306522%,18.0074608336884%,7.74577644785238%,13.039411384654%
Arkansas Nuclear 2,912,257,07/01/1971,03/25/1980,633000,812294,1,0,0,0,0,10/01/1975,02/01/1977,01/01/1978,07/01/1978,08/01/1978,345532,402212,479191,683280,716295,,378.872807017544,441.021929824561,525.428728070176,749.21052631579,785.411184210526,890.673245614035,16.4036905409629%,19.1389118176484%,42.5903241087583%,4.83184053389533%,13.4021597246944%
Beaver Valley 1,852,64,03/01/1969,10/15/1976,583400,883708,0,0,0,1,0,06/01/1973,12/01/1973,10/01/1974,05/01/1975,10/01/1975,385518,409792,597963,780338,796509,,452.485915492958,480.976525821596,701.834507042254,915.889671361502,934.869718309859,1037.21596244131,6.29646345955312%,45.9186611744495%,30.4993787241016%,2.07230712844947%,10.9476477980789%
Beaver Valley 2,833,118,05/01/1975,10/15/1986,3466000,3079681,0,0,0,0,0,06/15/1979,05/15/1984,05/15/1986,05/15/1986,10/15/1986,685964,1106400,1449292,2358652,3079681,,823.486194477791,1328.21128451381,1739.84633853541,2831.5150060024,3697.09603841537,3697.09603841537,61.291263098355%,30.9916847433116%,62.745119686026%,30.5695371763194%,0%
Braidwood 1,1120,110,08/01/1975,10/15/1986,2450000,2045455,0,0,1,1,1,10/15/1981,10/15/1981,10/15/1981,04/15/1986,10/15/1986,572684,755359,840511,1407194,2045455,,511.325,674.427678571429,750.45625,1256.42321428571,1826.29910714286,1826.29910714286,31.8980449951457%,11.2730502979378%,67.4212473126467%,45.3570012379246%,0%
Browns Ferry 1,1065,37,09/01/1966,08/15/1974,347520,657872,1,0,1,1,0,10/01/1970,10/01/1970,04/01/1972,10/01/1973,08/01/1974,227395,376468,395320,613992,616796,,213.516431924883,353.491079812207,371.192488262911,576.518309859155,579.15117370892,617.720187793427,65.556850414477%,5.00759692722887%,55.3151876960437%,0.456683474703256%,6.65957626184347%
Browns Ferry 2,1065,43,09/01/1966,03/01/1975,260640,493404,1,0,1,0,0,10/01/1970,10/01/1970,01/01/1973,04/01/1974,12/01/1974,170546,282351,296490,460494,462597,,160.137089201878,265.118309859155,278.394366197183,432.388732394366,434.36338028169,463.29014084507,65.5570931009816%,5.00759692722888%,55.3151876960437%,0.456683474703256%,6.65957626184347%
Browns Ferry 3,1065,53,09/01/1966,03/01/1977,260640,493404,1,0,1,0,0,10/01/1970,10/01/1970,10/01/1973,10/01/1974,09/01/1975,170546,282351,296490,460494,462597,,160.137089201878,265.118309859155,278.394366197183,432.388732394366,434.36338028169,463.29014084507,65.5570931009816%,5.00759692722888%,55.3151876960437%,0.456683474703256%,6.65957626184347%
Brunswick 1,821,29,09/01/1969,03/01/1977,315919,539650,1,0,0,1,1,03/01/1976,03/01/1975,12/01/1975,06/01/1976,03/01/1977,323177,332710,436755,500868,591011,,393.638246041413,405.249695493301,531.979293544458,610.070645554202,719.867235079172,657.308160779537,2.94977674772648%,31.271978599982%,14.6793969158911%,17.9973565889616%,-8.69036278512583%
Brunswick 2,821,23,09/01/1969,11/01/1975,378827,700647,1,0,0,0,1,03/01/1976,03/01/1974,03/01/1974,12/01/1974,01/01/1975,264417,386528,409667,547829,732076,,322.066991473812,470.801461632156,498.985383678441,667.270401948843,891.688185140073,853.406820950061,46.181221328432%,5.98637097441842%,33.7254404186815%,33.6322100509466%,-4.29313349980056%
Byron 1,1120,105,03/15/1975,04/15/1985,2374000,1891608,0,0,1,1,0,10/15/1980,03/15/1981,09/15/1981,10/15/1983,06/15/1984,556370,826377,804866,1417628,1621337,,496.758928571429,737.836607142857,718.630357142857,1265.73928571429,1447.62232142857,1688.93571428571,48.5301148516275%,-2.60304921361557%,76.1321760392413%,14.3697077089335%,16.6696374658692%
Byron 2,1120,110,03/15/1975,10/15/1986,1776000,1556548,0,0,1,0,0,10/15/1982,10/15/1982,10/15/1983,02/15/1985,,414763,451615,546784,963837,1124444,,370.324107142857,403.227678571429,488.2,860.56875,1003.96785714286,1389.775,8.88507412666992%,21.0730378751813%,76.2738119623105%,16.6632947272205%,38.4282365328998%
Callaway,1120,77,08/15/1975,06/15/1985,3070000,2253092,0,0,0,1,0,10/15/1981,10/15/1982,10/15/1982,01/15/1984,12/15/1985,853699,965844,949058,1943763,2052471,,762.23125,862.360714285714,847.373214285714,1735.50267857143,1832.56339285714,2011.68928571429,13.1363630506771%,-1.73796182406268%,104.809716582127%,5.59265712949573%,9.77460826486708%
Calvert Cliffs 1,845,163,06/01/1968,05/22/1975,429000,858098,1,0,0,1,1,01/01/1973,01/01/1973,01/01/1973,02/01/1974,07/01/1974,268461,354144,346309,654792,740358,,317.705325443787,419.105325443787,409.833136094675,774.901775147929,876.163313609468,1015.50059171598,31.9163677405657%,-2.21237688623836%,89.0773846478145%,13.0676611809552%,15.9031171406266%
Calvert Cliffs 2,845,203,06/01/1968,04/01/1977,310000,574988,1,0,0,0,1,01/01/1974,01/01/1974,06/01/1974,09/01/1975,01/01/1977,215745,241400,392206,603477,584109,,255.319526627219,285.680473372781,464.149112426036,714.173964497041,691.25325443787,680.459171597633,11.8913532179193%,62.4714167357084%,53.8673554203658%,-3.20940151820202%,-1.56152361973536%
Catawba,1145,67,05/15/1974,06/15/1985,1936000,1558099,1,0,1,1,0,07/15/1979,07/15/1981,07/15/1981,03/15/1984,06/15/1985,420188,675803,791272,1095614,1128480,,366.976419213974,590.22096069869,691.067248908297,956.868122270742,985.572052401747,1360.78515283843,60.8334840595162%,17.0861922779271%,38.4623745058589%,2.99977911928837%,38.070590528853%
Clinton,933,11,10/01/1975,07/15/1986,3145000,3048987,0,0,0,1,1,06/15/1981,12/15/1982,12/15/1982,09/15/1983,07/15/1986,533530,1104105,1152515,1603065,3048987,,571.843515541265,1183.3922829582,1235.27867095391,1718.18327974277,3267.93890675241,3267.93890675241,106.943377129683%,4.38454675959261%,39.092766688503%,90.1973407191848%,0%
Cooper,778,19,02/01/1968,07/01/1974,232253,791486,0,0,0,1,1,04/01/1972,04/01/1972,04/01/1973,04/01/1973,11/01/1973,284213,277832,413459,529283,629446,,365.312339331619,357.110539845758,531.438303341902,680.31233933162,809.056555269923,1017.33419023136,-2.24514712557131%,48.8161910795013%,28.013418500988%,18.9242805833552%,25.7432726556368%
Crystal River 3,825,10,06/01/1968,03/01/1977,414152,712103,1,0,0,1,1,04/01/1972,09/01/1973,09/01/1973,12/01/1974,03/01/1975,271995,401967,400119,581483,597485,,329.690909090909,487.232727272727,484.992727272727,704.827878787879,724.224242424242,863.155151515151,47.7847019246677%,-0.459739232325043%,45.3275150642684%,2.75192911916599%,19.1834104621873%
Davis-Besse 1,906,221,06/01/1970,08/15/1978,635707,1020690,0,0,0,1,0,12/01/1974,12/01/1974,05/01/1975,06/01/1976,09/01/1976,363531,535830,614221,837867,848844,,401.248344370861,591.423841059603,677.948123620309,924.798013245033,936.913907284768,1126.58940397351,47.3959579788244%,14.6298266241159%,36.4113242627654%,1.31011246415005%,20.2447092752025%
Diablo Canyon 1,1084,33,06/01/1968,04/15/1985,3226000,2817185,0,1,1,1,1,01/01/1973,05/01/1974,03/01/1975,09/01/1975,05/01/1976,334231,628826,584131,853158,820564,,308.331180811808,580.09778597786,538.866236162362,787.046125461255,756.977859778598,2598.87915129151,88.1411359209648%,-7.10768956754333%,46.0559360828307%,-3.82039434665091%,243.323007102432%
Diablo Canyon 2,1106,33,03/01/1971,08/15/1985,2113600,1752767,0,1,1,0,1,05/01/1975,03/01/1976,03/01/1977,01/01/1977,01/01/1978,344988,486123,579454,795578,853864,,311.924050632911,439.532549728752,523.918625678119,719.329113924051,772.028933092224,1584.78028933092,40.9101186128213%,19.1990504460805%,37.2978700638877%,7.326245823791%,105.274727591279%
Donald C. Cook 1,1054,14,09/01/1968,08/23/1975,536000,978601,0,0,0,1,1,04/01/1972,03/01/1973,10/01/1973,04/01/1975,,493711,682696,787520,833314,,,468.4165085389,647.719165085389,747.172675521822,790.620493358634,0,928.46394686907,38.2784665522948%,15.3544183648359%,5.81496342950021%,,
Duane Arnold,538,163,10/01/1969,02/01/1975,287142,537893,0,0,0,1,0,12/01/1973,12/01/1973,12/01/1973,01/01/1974,01/01/1974,255153,278723,333565,437074,408183,,474.262081784387,518.07249070632,620.009293680297,812.405204460966,758.704460966543,999.801115241636,9.23759469808312%,19.6761659425308%,31.0311333623132%,-6.61009348531369%,31.7774135620543%
Edwin I. Hatch 1,777,15,09/01/1968,12/31/1975,365137,714341,1,0,1,1,0,06/01/1973,04/01/1973,04/01/1973,04/01/1974,04/01/1974,313101,384334,381654,596799,660393,,402.96138996139,494.638352638353,491.189189189189,768.081081081081,849.926640926641,919.357786357786,22.7508056505728%,-0.697310152107282%,56.3717398481347%,10.6558489541705%,8.16907508105022%
Edwin I. Hatch 2,784,27,11/01/1971,09/05/1979,511000,693055,1,0,1,0,0,04/01/1978,04/01/1978,04/01/1979,04/01/1979,04/01/1979,490764,670095,622609,740086,752501,,625.974489795918,854.713010204082,794.144132653061,943.987244897959,959.822704081633,883.998724489796,36.5411888402572%,-7.08645789029914%,18.868503346402%,1.67750774909943%,-7.89979016639181%
Fermi 2,1093,77,07/15/1970,06/15/1985,3371000,2842054,0,0,0,1,0,02/15/1974,04/15/1976,12/15/1980,12/15/1980,11/15/1983,447882,688848,924793,1266638,1735990,,409.773101555352,630.23604757548,846.105215004575,1158.86367795059,1588.27996340348,2600.23238792315,53.8012244296489%,34.2521136738439%,36.9644882692667%,37.0549438750456%,63.7137310698794%
Fort Calhoun 1,478,6,02/01/1968,09/15/1973,174323,390795,0,0,0,1,1,05/01/1971,05/01/1971,06/01/1972,11/01/1972,05/01/1973,166771,214404,274367,306043,369769,,348.893305439331,448.543933054393,573.989539748954,640.257322175732,773.575313807531,817.562761506276,28.561920237931%,27.9672953862801%,11.5451202221842%,20.8225641494823%,5.68625276862041%
Grand Gulf 1,1250,335,04/01/1974,06/15/1985,3139950,2609000,1,0,0,1,0,09/01/1979,06/01/1980,04/01/1981,04/01/1981,04/01/1981,830459,751865,938896,1823418,1827154,,664.3672,601.492,751.1168,1458.7344,1461.7232,2087.2,-9.46392296308428%,24.8756093181622%,94.208730253404%,0.204889937469073%,42.7903723495666%
Harris 1,900,78,01/01/1974,09/15/1986,3411272,3004815,1,0,0,1,0,03/15/1978,03/15/1984,09/15/1985,03/15/1986,09/15/1986,674532,709920,1227058,2194440,3004815,,749.48,788.8,1363.39777777778,2438.26666666667,3338.68333333333,3338.68333333333,5.24630410417889%,72.8445458643227%,78.8375121632393%,36.92855580467%,0%
Hope Creek 1,1067,341,03/01/1976,12/15/1986,3756000,3454272,0,0,0,1,0,12/15/1982,12/15/1986,12/15/1986,12/15/1986,12/15/1986,1195824,1561891,2239658,3569532,3454272,,1120.73477038426,1463.81537019681,2099.02343017807,3345.3908153702,3237.36832239925,3237.36832239925,30.6121134882725%,43.3940012459256%,59.3784408155174%,-3.22899472535896%,0%
Indian Point 3,965,8,09/01/1967,08/30/1976,383000,645442,0,0,0,0,1,06/01/1971,05/01/1973,12/01/1973,10/01/1974,06/01/1975,358539,309159,487120,616325,709204,,371.543005181347,320.372020725389,504.787564766839,638.678756476684,734.926424870466,668.851813471503,-13.7725603072469%,57.5629368706717%,26.5242650681557%,15.069808948201%,-8.99064303077817%
Joseph M. Farley 1,829,26,08/01/1970,12/01/1977,686386,1098921,1,0,0,1,0,04/01/1975,04/01/1975,12/01/1975,02/01/1976,06/01/1977,291068,475844,509924,892496,1096320,,351.107358262967,573.997587454765,615.107358262967,1076.59348612787,1322.46079613993,1325.59831121834,63.4820729176687%,7.16201107926126%,75.0252978875284%,22.8375253222423%,0.23724824868651%
Joseph M. Farley 2,829,54,10/01/1970,07/30/1981,780879,922643,1,0,0,0,0,04/01/1977,01/01/1977,04/01/1980,04/01/1980,09/01/1980,305044,519835,737962,854473,836780,,367.966224366707,627.062726176116,890.183353437877,1030.72738238842,1009.38480096502,1112.958986731,70.4131207301242%,41.9608144892129%,15.7882113171139%,-2.07063301005414%,10.2611200076484%
Kewaunee,535,7,12/01/1967,06/16/1974,201221,420274,0,0,0,1,1,06/01/1972,09/01/1972,09/01/1972,12/01/1972,06/01/1973,223427,252119,244376,337611,382693,,417.620560747664,471.25046728972,456.777570093458,631.048598130841,715.314018691589,785.558878504673,12.8417782989522%,-3.07116877347601%,38.1522735456837%,13.3532378980543%,9.82014303893721%
LaSalle 1,1078,99,10/01/1973,01/15/1984,1342888,1441325,0,0,1,1,0,12/01/1978,12/01/1978,09/01/1979,09/01/1979,12/01/1980,536848,587409,628759,1032214,1198639,,498.003710575139,544.906307977737,583.264378478664,957.526901669759,1111.91001855288,1337.03617810761,9.41812207552231%,7.03938822864477%,64.1668747485126%,16.1231101302637%,20.2467965751156%
