Unit Name,Capacity (Mwe),Constructor Experience (Reactor-Years),Construction Start Date,Commercial Operation Date,Realized Costs (Mixed Current Dollars),Realized Costs (Constant 1982 dollars),Location: south or southwest,Location: west,Utility construction manager,Single Unit,Cooling tower,Est Completion Date at 0%,Est Completion Date at 25%,Est Completion Date at 50%,Est Completion Date at 75%,Est Completion Date at 90%,Est Overnight Cost at 0%,Est Overnight Cost at 25%,Est Overnight Cost at 50%,Est Overnight Cost at 75%,Est Overnight Cost at 90%,Est Overnight cost at 0% ($/kW),Est Overnight cost at 25% ($/kW),Est Overnight cost at 50% ($/kW),Est Overnight cost at 75% ($/kW),Est Overnight cost at 90% ($/kW),Realized costs at 100% ($/kW),cesc025,cesc2550,cesc5075,cesc7590,cesc90100,sesc025,sesc2550,sesc5075,sesc7590,sesc90100,fcesc025,fcesc2550,fcesc5075,fcesc7590,fcesc90100,fsesc025,fsesc2550,fsesc5075,fsesc7590,fsesc90100,sescor025,sescor2550,sescor5075,sescor7590,sescor90100
LaSalle 2,1078,99,10/15/1973,06/15/1984,1028929,942595,0,0,1,0,0,05/15/1979,10/15/1979,09/15/1980,12/15/1981,10/15/1983,399488,436379,506928,800870,998725,370.5825602968,404.8042671614,470.2486085343,742.9220779221,926.461038961,874.392393321,0.0923457025,0.1616690996,0.5798496039,0.247050083,-0.0562016571,0.0750736016,0.1533546326,0.1804511278,0.2242708683,0.0668127054,0.0760736016,0.1543546326,0.2488230655,0.2252708683,0.0678127054,1.8180548222,1.2241116047,0.8357733731,0.530068282,0.5772448575,0.0750736016,0.1533546326,0.1804511278,0.2242708683,0.0668127054
Limerick 1,1055,335,07/15/1970,08/15/1985,3857000,2990034,0,0,0,1,0,03/15/1975,04/15/1983,04/15/1983,04/15/1985,04/15/1985,691836,943074,1294899,2194790,2309235,655.7687203791,893.9090047393,1227.3924170616,2080.3696682465,2188.8483412322,2834.155450237,0.3631467573,0.373061923,0.6949507259,0.0521439409,0.2948158156,1.7329812207,0,0.1569680052,0,0.0226429102,1.7339812207,0.001,0.2253399428,0.001,0.0236429102,3.4759624413,1.0707569721,0.8122902505,0.3057974138,0.5330750623,,0,0.1569680052,0,0.0226429102
McGuire 1,1180,56,01/01/1971,12/01/1981,919000,975602,1,0,1,1,0,11/01/1975,11/01/1976,01/01/1978,01/01/1979,07/01/1979,311191,332251,506102,629994,821025,263.7211864407,281.5686440678,428.9,533.893220339,695.7838983051,826.7813559322,0.067675479,0.5232519992,0.2447965035,0.3032266974,0.1882731951,0.2073654391,0.1999061473,0.1427454048,0.0619438741,0.2848855946,0.2083654391,0.2009061473,0.2111173424,0.0629438741,0.2858855946,1.5885565748,1.2706631195,0.7980676501,0.3677412879,0.7953177467,0.2073654391,0.1999061473,0.1427454048,0.0619438741,0.2848855946
McGuire 2,1180,65,12/15/1971,03/15/1984,1022000,953535,1,0,1,0,0,03/15/1977,09/15/1977,01/15/1979,04/15/1982,06/15/1983,354556,309692,467459,788034,922381,300.4711864407,262.4508474576,396.1516949153,667.8254237288,781.6788135593,808.0805084746,-0.1265357236,0.5094319517,0.6857820686,0.1704837609,0.0337756307,0.0959833073,0.2317943836,0.4582689335,0.1128775835,0.0652380952,0.0969833073,0.2327943836,0.5266408712,0.1138775835,0.0662380952,1.477174443,1.3025513557,1.1135911789,0.4186749973,0.5756702474,0.0959833073,0.2317943836,0.4582689335,0.1128775835,0.0652380952
Millstone 2,870,163,11/01/1969,12/01/1975,413683,703265,0,0,0,0,1,04/01/1974,04/01/1974,04/01/1974,05/01/1975,08/01/1975,356334,474094,521897,765944,688200,409.5793103448,544.9356321839,599.8816091954,880.3954022989,791.0344827586,808.3505747126,0.3304764631,0.1008302151,0.4676152574,-0.101500893,0.0218904388,0,0,0.2450372208,0.0458395615,0.0581229157,0.001,0.001,0.3134091585,0.0468395615,0.0591229157,1.3811911357,1.0707569721,0.9003594662,0.3516369753,0.5685550678,0,0,0.2450372208,0.0458395615,0.0581229157
Millstone 3,1156,118,06/01/1976,06/15/1986,3825000,3003760,0,0,0,0,1,05/15/1979,05/15/1982,05/15/1986,05/15/1986,06/15/1986,785817,1827434,2261156,3242362,3003760,679.7724913495,1580.8252595156,1956.0173010381,2804.8114186851,2598.4083044983,2598.4083044983,1.3255210819,0.2373393512,0.4339399847,-0.0735889453,0,1.0166975881,0.6720331187,0,0.0085281981,0,1.0176975881,0.6730331187,0.0683719376,0.0095281981,0.001,2.3978887239,1.7427900908,0.6553222453,0.3143256119,0.5104321521,,0.6720331187,0,0.0085281981,0
Nine Mile Point 2,1099,118,06/01/1975,10/15/1986,5100000,3967476,0,0,0,1,0,05/15/1979,10/15/1984,10/15/1986,10/15/1986,10/15/1986,757353,1652841,2577091,3002457,3967476,689.1292083712,1503.9499545041,2344.9417652411,2731.9899909008,3610.0782529572,3610.0782529572,1.1823918305,0.5591886939,0.1650566472,0.3214097654,0,1.3711911357,0.2132009346,0,0,0,1.3721911357,0.2142009346,0.0683719376,0.001,0.001,2.7523822715,1.2839579067,0.6553222453,0.3057974138,0.5104321521,,0.2132009346,0,0,0
North Anna 1,907,78,06/01/1969,06/06/1978,779429,1168619,1,0,0,1,0,03/01/1974,03/01/1974,12/01/1974,05/01/1976,04/01/1977,386655,557534,704660,852402,1076127,426.3009922822,614.7012127894,776.9128996692,939.8037486218,1186.4685777288,1288.4443219405,0.4419417827,0.2638870455,0.2096642352,0.2624641894,0.0859489633,0,0.1585928489,0.2573419612,0.1326207443,0.1506466271,0.001,0.1595928489,0.3257138988,0.1336207443,0.1516466271,0.9776735559,1.229349821,0.9126642065,0.4384181581,0.6610787792,0,0.1585928489,0.2573419612,0.1326207443,0.1506466271
North Anna 2,907,90,07/15/1969,12/14/1980,540919,700519,1,0,0,0,0,03/15/1975,07/01/1975,11/01/1976,05/01/1978,03/01/1979,334315,382732,403491,592645,661156,368.5942668137,421.9757442117,444.8632855568,653.4123484013,728.9481808159,772.3472987872,0.1448244919,0.0542389975,0.4687936038,0.1156020889,0.0595366298,0.05219913,0.2246210381,0.2048012003,0.0946450809,0.1860068259,0.05319913,0.2256210381,0.2731731379,0.0956450809,0.1870068259,1.0298726859,1.2953780102,0.8601234456,0.4004424947,0.6964389781,0.05219913,0.2246210381,0.2048012003,0.0946450809,0.1860068259
Palisades,805,83,03/01/1967,12/01/1971,137029,317124,0,0,0,1,0,05/01/1970,05/01/1970,05/01/1970,05/01/1970,05/01/1970,221053,221053,221053,290381,290381,274.6,274.6,274.6,360.7217391304,360.7217391304,393.9428571429,0,0,0.313626144,0,0.092096246,0,0,0,0,0.5004321521,0.001,0.001,0.0683719376,0.001,0.5014321521,0.9776735559,1.0707569721,0.6553222453,0.3057974138,1.0108643042,0,0,0,0,0.5004321521
Palo Verde 1,1270,335,05/15/1976,12/15/1985,,3144500,1,0,0,1,0,05/15/1982,05/15/1982,05/15/1983,05/15/1983,05/15/1983,927249,1186905,781311,1984183,1961434,730.1173228346,934.5708661417,615.205511811,1562.3488188976,1544.4362204724,2475.9842519685,0.2800283419,-0.3417240638,1.5395559515,-0.0114651723,0.6031638077,0,0.1665905979,0,0,0.3697183099,0.001,0.1675905979,0.0683719376,0.001,0.3707183099,0.9776735559,1.23734757,0.6553222453,0.3057974138,0.7867158108,0,0.1665905979,0,0,0.3697183099
Palo Verde 2,1270,339,05/15/1976,04/15/1986,,1721135,1,0,0,0,0,05/15/1984,05/15/1984,05/15/1984,05/15/1984,05/15/1984,690974,452712,686760,1265012,1557118,544.074015748,356.4661417323,540.7559055118,996.0724409449,1226.0771653543,1355.2244094488,-0.3448204998,0.5169909346,0.8420001165,0.2309116435,0.1053336998,0,0,0,0,0.2395619439,0.001,0.001,0.0683719376,0.001,0.2405619439,0.9776735559,1.0707569721,0.6553222453,0.3057974138,0.6565594448,0,0,0,0,0.2395619439
Peach Bottom 2,1065,142,02/01/1967,07/01/1974,520000,1065370,0,0,0,1,0,03/01/1971,03/01/1971,05/01/1972,03/01/1973,09/01/1973,399923,392222,516795,624369,800005,375.5145539906,368.2835680751,485.2535211268,586.261971831,751.1784037559,1000.3474178404,-0.0192562068,0.3176083952,0.2081560387,0.2813016021,0.3317041768,0,0.2867696441,0.1586638831,0.0828828829,0.1260399334,0.001,0.2877696441,0.2270358207,0.0838828829,0.1270399334,0.9776735559,1.3575266162,0.8139861284,0.3886802967,0.5430374343,0,0.2867696441,0.1586638831,0.0828828829,0.1260399334
Peach Bottom 3,1065,142,02/01/1967,12/01/1974,219600,421094,0,0,0,0,0,03/01/1973,03/01/1973,04/01/1974,09/01/1974,12/01/1974,318030,465928,497341,626853,480969,298.6197183099,437.4910798122,466.9868544601,588.5943661972,451.614084507,395.39342723,0.4650441782,0.0674202881,0.2604088543,-0.2327244186,-0.1244882726,0,0.1783783784,0.0584862385,0.0328638498,0,0.001,0.1793783784,0.1268581762,0.0338638498,0.001,0.9776735559,1.2491353505,0.7138084839,0.3386612636,0.4169975009,0,0.1783783784,0.0584862385,0.0328638498,0
Perry 1,1205,23,10/15/1974,12/15/1985,3945000,2801589,0,0,0,1,0,06/15/1979,12/15/1981,05/15/1983,05/15/1984,05/15/1985,736829,920802,923404,1489825,1801225,611.4763485477,764.1510373444,766.310373444,1236.3692946058,1494.7925311203,2324.9701244813,0.2496820836,0.0028257975,0.6134054,0.2090178377,0.555379811,0.5363849765,0.1970970206,0.1167836631,0.1042857143,0.0553686934,0.5373849765,0.1980970206,0.1851556007,0.1052857143,0.0563686934,1.5140585324,1.2678539927,0.7721059084,0.4100831281,0.4723661943,0.5363849765,0.1970970206,0.1167836631,0.1042857143,0.0553686934
Rancho Seco,918,163,03/01/1969,04/18/1975,337408,657901,0,1,0,1,0,05/01/1973,05/01/1973,05/01/1973,10/01/1973,10/01/1974,292296,283748,454241,661810,700604,318.4052287582,309.0936819172,494.8159041394,720.9259259259,763.1851851852,716.6677559913,-0.0292443277,0.6008606228,0.4569578704,0.0586180324,-0.0609516931,0,0,0.1005256242,0.2179104478,0.0975490196,0.001,0.001,0.1688975618,0.2189104478,0.0985490196,0.9776735559,1.0707569721,0.7558478695,0.5237078616,0.5145465205,0,0,0.1005256242,0.2179104478,0.0975490196
River Bend 1,934,118,09/01/1975,12/15/1985,,3073347,1,0,0,1,0,09/15/1981,04/15/1984,12/15/1985,12/15/1985,12/15/1985,539344,1210513,1444092,2448073,3073347,577.4561027837,1296.0524625268,1546.1370449679,2621.0631691649,3290.5214132762,3290.5214132762,1.2444172921,0.1929586878,0.6952334062,0.2554147691,0,0.4274705349,0.1933947285,0,0,0,0.4284705349,0.1943947285,0.0683719376,0.001,0.001,1.4051440908,1.2641517006,0.6553222453,0.3057974138,0.4169975009,0.4274705349,0.1933947285,0,0,0
Salem 1,1090,74,01/01/1968,06/30/1977,935550,1374381,0,0,0,1,1,03/01/1972,12/01/1972,10/01/1974,09/01/1975,09/01/1976,347229,546861,651274,907369,1072352,318.5587155963,501.7073394495,597.4990825688,832.4486238532,983.8091743119,1260.9,0.5749289374,0.1909315164,0.3932215934,0.1818256961,0.2816509877,0.1808021039,0.3724944321,0.1359026369,0.1307142857,0.0953885028,0.1818021039,0.3734944321,0.2042745746,0.1317142857,0.0963885028,1.1584756598,1.4432514042,0.7912248822,0.4365116995,0.5123860037,0.1808021039,0.3724944321,0.1359026369,0.1307142857,0.0953885028
Salem 2,1115,87,01/01/1968,10/13/1981,765450,1124493,0,0,0,0,1,03/01/1973,07/01/1973,05/01/1979,04/01/1979,04/01/1979,284096,447431,532860,742393,877379,254.7946188341,401.2834080717,477.9013452915,665.8233183857,786.8869955157,1008.5139013453,0.5749288973,0.1909322331,0.3932233607,0.1818255291,0.2816502333,0.0646871686,1.0607569721,-0.0072498792,0,0.2254138267,0.0656871686,1.0617569721,0.0611220585,0.001,0.2264138267,1.0423607245,2.1315139442,0.6480723662,0.3057974138,0.6424113276,0.0646871686,,-0.0072498792,0,0.2254138267
San Onofre 2,1100,308,03/01/1974,08/15/1983,2569028,2511826,0,1,0,1,1,01/01/1979,10/01/1981,10/01/1981,10/01/1981,12/01/1981,851659,1207223,1240671,1489223,2032996,774.2354545455,1097.4754545455,1127.8827272727,1353.8390909091,1848.1781818182,2283.4781818182,0.4174957348,0.0277065629,0.2003367533,0.3651387334,0.2355292386,0.5681946802,0,0,0.0220137135,0.2196327684,0.5691946802,0.001,0.0683719376,0.0230137135,0.2206327684,1.5458682362,0.3634816248,0.6553222453,0.3278111273,0.6366302693,0.5681946802,0,0,0.0220137135,0.2196327684
San Onofre 3,1100,323,03/01/1974,04/15/1984,1749106,1560930,0,1,0,0,1,01/01/1980,01/01/1983,01/01/1983,07/15/1983,09/15/1983,793455,863769,976268,1550401,1650002,721.3227272727,785.2445454545,887.5163636364,1409.4554545455,1500.0018181818,1419.0272727273,0.0886175019,0.1302419976,0.588089541,0.0642420896,-0.0539829649,0.5140712946,0,0.0604089219,0.0181127666,0.0611190818,0.5150712946,0.001,0.1287808596,0.0191127666,0.0621190818,1.4917448505,0.3634816248,0.7157311673,0.3239101804,0.4781165827,0.5140712946,0,0.0604089219,0.0181127666,0.0611190818
Sequoyah 1,1148,69,05/01/1969,07/15/1981,912615,1172007,1,0,1,1,0,10/01/1973,07/01/1974,04/01/1975,09/01/1978,10/01/1979,393724,459104,460127,818650,967378,342.9651567944,399.9163763066,400.8074912892,713.1097560976,842.6637630662,1020.9120209059,0.1660554094,0.0022282533,0.7791827039,0.1816747084,0.2115295159,0.1691449814,0.1452040276,0.5779731606,0.1158357771,0.1716162943,0.1701449814,0.1462040276,0.6463450982,0.1168357771,0.1726162943,1.1468185373,0.5086856523,1.2332954059,0.4216331909,0.5886137952,0.1691449814,0.1452040276,0.5779731606,0.1158357771,0.1716162943
Sequoyah 2,1148,72,05/15/1969,06/15/1982,746685,958915,1,0,1,0,0,10/15/1973,03/15/1975,12/15/1975,03/15/1980,06/15/1981,322137,375631,376467,669805,791491,280.6071428571,327.2047038328,327.9329268293,583.4538327526,689.4520905923,835.2918118467,0.166059782,0.0022255884,0.7791864891,0.1816737707,0.2115298847,0.3197026022,0.1291079812,0.6453222453,0.115491534,0.0826914363,0.3207026022,0.1301079812,0.713694183,0.116491534,0.0836914363,1.2973761581,0.492589606,1.3006444906,0.4212889478,0.4996889372,0.3197026022,0.1291079812,0.6453222453,0.115491534,0.0826914363
Shoreham,820,115,03/15/1968,10/15/1985,4231000,3109526,0,0,0,1,1,05/15/1973,05/15/1978,05/15/1979,09/15/1980,02/15/1983,225735,851042,737396,1664071,2423971,275.2865853659,1037.856097561,899.2634146341,2029.3548780488,2956.062195122,3792.1048780488,2.7700932509,-0.1335374752,1.2566856886,0.4566511886,0.2828231031,0.9676735559,0.0983032588,0.1199117214,0.1933435516,0.1785321101,0.9686735559,0.0993032588,0.1882836591,0.1943435516,0.1795321101,1.9453471118,0.4617848836,0.424787648,0.4991409654,0.595529611,0.9676735559,0.0983032588,0.1199117214,0.1933435516,0.1785321101
St. Lucie 1,830,31,03/01/1969,12/21/1976,463000,849302,1,0,0,1,1,01/01/1973,05/01/1975,06/01/1975,12/01/1975,12/01/1975,273980,494271,587739,586569,694372,330.0963855422,595.5072289157,708.1192771084,706.7096385542,836.5927710843,1023.2554216868,0.8040404409,0.1891027392,-0.0019906795,0.1837857098,0.2231224761,0.6062767475,0.0137655417,0.0801576873,0,0.1565287916,0.6072767475,0.0147655417,0.1485296249,0.001,0.1575287916,1.4510453159,0.3772471665,0.3850336138,0.3057974138,0.5735262925,0.6062767475,0.0137655417,0.0801576873,0,0.1565287916
St. Lucie 2,810,77,06/15/1976,08/15/1983,1431271,1409509,1,0,0,0,1,12/15/1980,05/15/1983,05/15/1983,05/15/1983,07/15/1983,670600,847596,903948,1090737,1372146,827.9012345679,1046.4148148148,1115.9851851852,1346.5888888889,1694.0074074074,1740.1345679012,0.263936773,0.0664845044,0.2066368862,0.2579989493,0.0272296097,0.5358880779,0,0,0.0241584158,0.0119876257,0.5368880779,0.001,0.0683719376,0.0251584158,0.0129876257,1.3806566462,0.3634816248,0.3048759265,0.3299558296,0.4289851266,0.5358880779,0,0,0.0241584158,0.0119876257
Surry 1,788,35,12/01/1966,12/22/1972,247358,571767,1,0,0,1,1,03/01/1971,03/01/1971,06/01/1971,10/01/1971,02/01/1972,315018,416376,470649,529849,468946,399.769035533,528.3959390863,597.2703045685,672.3972081218,595.1091370558,725.5926395939,0.3217530427,0.1303461295,0.1257837582,-0.114944069,0.2192597868,0,0.05931657,0.0742544127,0.0696883853,0.1721398305,0.001,0.06031657,0.1426263503,0.0706883853,0.1731398305,0.8447685684,0.4227981947,0.3791303392,0.3754857991,0.5891373314,0,0.05931657,0.0742544127,0.0696883853,0.1721398305
Surry 2,788,41,12/01/1966,05/01/1973,147649,328394,1,0,0,0,1,03/01/1972,04/01/1972,10/01/1972,12/01/1972,03/01/1973,247275,323502,293504,333908,317965,313.8007614213,410.5355329949,372.4670050761,423.7411167513,403.5088832487,416.7436548223,0.3082681225,-0.0927289476,0.1376608155,-0.0477466847,0.0327992075,0.0161711007,0.0939425051,0.0286250587,0.0410583942,0.0267309378,0.0171711007,0.0949425051,0.0969969963,0.0420583942,0.0277309378,0.860939669,0.4574241299,0.3335009852,0.346855808,0.4437284387,0.0161711007,0.0939425051,0.0286250587,0.0410583942,0.0267309378
Susquehanna 1,1050,308,11/01/1973,06/15/1983,2256742,1993771,0,0,0,1,0,01/01/1979,11/01/1980,11/01/1980,01/01/1982,04/01/1983,991844,1042678,1064286,1786574,2304821,944.6133333333,993.0266666667,1013.6057142857,1701.4990476191,2195.0676190476,1898.8295238095,0.0512520114,0.0207235599,0.6786596836,0.2900786645,-0.1349562504,0.3550609433,0,0.1666014861,0.1525310091,0.0218150087,0.3560609433,0.001,0.2349734238,0.1535310091,0.0228150087,1.1998295116,0.3634816248,0.4714774126,0.4583284228,0.4388125096,0.3550609433,0,0.1666014861,0.1525310091,0.0218150087
Susquehanna 2,1050,335,11/15/1973,02/15/1985,2159000,1708565,0,0,0,0,0,12/15/1981,05/15/1982,05/15/1982,11/15/1984,11/15/1984,565409,631151,718978,1320255,1098426,538.4847619048,601.0961904762,684.740952381,1257.3857142857,1046.12,1627.2047619048,0.1162733526,0.1391537049,0.8362940173,-0.1680198144,0.5554666404,0.0511517615,0,0.2948759265,0,0.0228969637,0.0521517615,0.001,0.3632478642,0.001,0.0238969637,0.8959203299,0.3634816248,0.599751853,0.3057974138,0.4398944646,0.0511517615,0,0.2948759265,0,0.0228969637
Three Mile Island 1,819,61,08/01/1967,09/01/1974,402016,757256,0,0,0,1,0,05/01/1971,05/01/1972,07/01/1972,11/01/1973,05/01/1974,242744,377681,386621,658664,780975,296.3907203907,461.148962149,472.0647130647,804.2295482295,953.5714285714,924.6105006105,0.5558819168,0.0236707698,0.7036425854,0.1856955899,-0.0303710106,0.2673484295,0.0351585014,0.271714922,0.0792469352,0.0498985801,0.2683484295,0.0361585014,0.3400868597,0.0802469352,0.0508985801,1.1121169979,0.3986401262,0.5534298441,0.385044349,0.466896081,0.2673484295,0.0351585014,0.271714922,0.0792469352,0.0498985801
Three Mile Island 2,906,78,09/01/1969,12/01/1978,714873,966834,0,0,0,0,0,05/01/1974,05/01/1975,05/01/1977,05/01/1978,05/01/1978,502093,621589,698026,967841,924479,554.1865342163,686.0805739514,770.4481236203,1068.2571743929,1020.3962472406,1067.1456953642,0.2379957498,0.1229703228,0.3865400429,-0.0448028137,0.0458149942,0.2143276571,0.3534816248,0.1304037156,0,0.0676359039,0.2153276571,0.3544816248,0.1987756533,0.001,0.0686359039,1.0590962254,0.7169632495,0.3215154909,0.3057974138,0.4846334048,0.2143276571,0.3534816248,0.1304037156,0,0.0676359039
Trojan,1130,183,02/01/1970,05/01/1976,443065,860040,0,1,0,1,0,09/01/1974,09/01/1974,09/01/1974,07/01/1975,01/01/1976,437011,420480,447787,704677,761772,386.7353982301,372.1061946903,396.2716814159,623.6079646018,674.1345132743,761.0973451327,-0.0378274231,0.0649424467,0.5736879365,0.0810229367,0.1289992281,0,0,0.1811117753,0.0931174089,0.0560185185,0.001,0.001,0.2494837129,0.0941174089,0.0570185185,0.8447685684,0.1795049505,0.3722235505,0.3989148227,0.4730160194,0,0,0.1811117753,0.0931174089,0.0560185185
Virgil Summer 1,900,72,04/01/1973,01/15/1984,1283035,1282782,1,0,0,1,0,01/01/1977,05/01/1979,05/01/1980,05/01/1980,12/01/1980,473600,430954,709911,1167577,1019115,526.2222222222,478.8377777778,788.79,1297.3077777778,1132.35,1425.3133333333,-0.0900464527,0.6473011041,0.6446808121,-0.1271539265,0.2587215378,0.6199854121,0.1647906348,0,0.0827212988,0.4069975009,0.6209854121,0.1657906348,0.0683719376,0.0837212988,0.4079975009,1.4647539805,0.3442955853,0.1704559404,0.3885187126,0.8239950018,0.6199854121,0.1647906348,0,0.0827212988,0.4069975009
Waterford 3,1164,89,12/15/1971,06/15/1985,2730000,2481863,1,0,0,1,1,01/15/1977,04/15/1981,10/15/1981,02/15/1981,04/15/1983,463760,804978,1022443,1493973,1800304,398.4192439863,691.5618556701,878.3874570447,1283.4819587629,1546.6529209622,2132.1847079038,0.7357641884,0.2701502401,0.461179743,0.2050445356,0.3785799509,0.8347685684,0.0536814315,-0.0673719376,0.2355223881,0.1913505678,0.8357685684,0.0546814315,0.001,0.2365223881,0.1923505678,1.6795371367,0.233186382,0.1030840027,0.5413198019,0.4612410121,0.8347685684,0.0536814315,-0.0673719376,0.2355223881,0.1913505678
Wolf Creek 1,1150,77,01/15/1977,08/15/1985,2864000,2130092,0,0,0,1,0,04/15/1982,04/15/1983,04/15/1983,04/15/1984,02/15/1985,858778,885569,1097394,1712597,2055654,746.7634782609,770.06,954.2556521739,1489.2147826087,1787.5252173913,1852.2539130435,0.0311966539,0.239196494,0.5606035754,0.2003139092,0.0362113469,0.1905010438,0,0.1604559404,0.1156025689,0.0612935997,0.1915010438,0.001,0.1614559404,0.1166025689,0.0622935997,0.5602210223,0.1795049505,0.3309118808,0.4213999827,0.331184044,0.1905010438,0,0.1604559404,0.1156025689,0.0612935997
WPPSS 2,1100,323,08/15/1972,12/15/1984,3200000,3011540,0,1,0,0,0,09/15/1977,07/15/1979,09/15/1980,09/15/1981,02/15/1984,590541,666989,951804,2285447,2926758,536.8554545455,606.3536363636,865.2763636364,2077.6790909091,2660.6890909091,2737.7636363636,0.1294541785,0.4270160377,1.4011739812,0.2806063759,0.0289678887,0.3597199785,0.1695049505,0.1236031155,0.2661241712,0.0723637229,0.3607199785,0.1705049505,0.1246031155,0.2671241712,0.0733637229,0.7294399569,0.349009901,0.257206231,0.571921585,0.3422541672,0.3597199785,0.1695049505,0.1236031155,0.2661241712,0.0723637229
Zion 1,1040,14,02/01/1968,10/02/1973,264630,577032,0,0,1,1,1,04/01/1972,04/01/1972,04/01/1972,08/01/1972,08/01/1972,445452,447958,507081,603530,540473,428.3192307692,430.7288461538,487.5778846154,580.3173076923,519.6855769231,554.8384615385,0.0056257464,0.1319833556,0.1902043263,-0.1044803075,0.0676426019,0,0,0.0802103879,0,0.2598904443,0.001,0.001,0.0812103879,0.001,0.2608904443,0.01,0.01,0.1704207758,0.3057974138,0.5297808886,0,0,0.0802103879,0,0.2598904443
Zion 2,1040,19,04/01/1968,11/01/1974,277577,565119,0,0,1,0,1,05/01/1973,05/01/1973,05/01/1973,05/01/1973,11/01/1974,323029,397526,423410,561067,580965,310.6048076923,382.2365384615,407.125,539.4875,558.6201923077,543.3836538462,0.230620161,0.0651127222,0.3251151366,0.0354645702,-0.0272753092,0,0,0,0.2957974138,0,0.001,0.001,0.001,0.2591153269,0.001,0.01,0.01,0.01,0.6015948276,0.01,0,0,0,0.2957974138,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,953.2710280374,1992.523364486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
